;0;1;2;3;4;5;6;7;8;9
0;2242;398;1288;3930;72;2053;584;1658;4102;3826
1;3362;4584;820;3156;2401;553;613;3659;1389;4623
2;3133;5111;2502;4108;1259;108;464;0;4933;465
3;3518;119;3739;200;1056;4854;4262;4042;4267;943
4;2581;2011;4921;2090;1011;2973;302;296;2833;3910
5;5131;2280;420;964;1734;792;2988;4887;2738;293
6;640;881;1105;2632;3331;753;1772;2560;1309;2157
7;300;1786;2651;4712;1263;1787;412;1780;383;542
8;238;1811;355;1842;1041;2712;4909;3801;988;163
9;230;350;1374;4219;4647;267;458;2309;4862;2029
10;4170;263;861;1146;1618;1515;517;767;2923;108
11;1871;77;3512;2582;538;346;3946;4090;1789;849
12;2439;2217;3554;3223;19;573;1180;1276;1134;909
13;1514;1300;1759;545;2678;714;3891;3071;2281;1291
14;2573;2819;1796;2261;4222;306;528;2636;979;3390
15;3060;137;3599;2010;1146;40;103;148;3707;509
16;3566;3399;676;2092;335;5041;3927;335;1202;831
17;4723;259;995;5115;2424;1876;5017;389;2033;1032
18;3087;2266;2182;3861;230;2000;2201;593;1399;300
19;3979;369;1067;288;4457;204;1522;5003;992;3340
20;1528;2484;3293;344;279;249;1287;1101;3757;1649
21;4015;979;3516;1519;1285;774;3545;3991;4827;76
22;1542;1650;3512;392;4370;2428;53;3031;3748;466
23;295;1880;72;5186;3697;96;2867;102;555;1278
24;966;511;186;346;1529;1383;2683;1524;1037;914
25;4351;1082;302;4971;656;1272;1069;68;3809;350
26;108;1632;751;1051;1346;833;1555;4407;102;1576
27;1184;1247;1282;3225;1679;1378;1748;567;979;4395
28;330;248;1456;3003;3978;3776;1045;5084;1117;2681
29;3938;2124;2142;1243;4017;77;1210;5230;4514;288
30;2359;2500;343;1654;244;1069;1191;1516;1457;2572
31;3762;290;3883;3818;3817;3869;808;2084;590;2496
32;5042;174;2033;598;664;1442;1297;1451;2502;776
33;2865;1530;2803;2400;1462;5056;442;4234;989;4144
34;391;5066;2381;2928;1040;847;1528;4112;261;4981
35;101;227;4173;2158;888;1037;1288;1258;649;4813
36;3827;4825;4364;1050;5191;754;124;426;5186;1082
37;3623;310;3872;4048;1976;5080;3695;1736;1044;956
38;2337;2640;3233;2624;259;77;4847;2512;755;2247
39;3075;531;45;3140;342;1860;3934;1179;74;3030
40;1517;1902;2609;100;777;3819;92;1624;4042;3654
41;1438;1825;452;4421;4732;1660;1875;3176;746;2301
42;657;3068;4171;2536;3902;1740;577;4964;3564;5088
43;5128;390;2313;3523;505;454;1731;1293;3265;1678
44;2064;3034;2005;1340;991;785;67;3967;103;4863
45;1320;4841;559;2643;303;3714;3893;4171;3302;2625
46;4870;135;473;3601;4101;288;363;2549;3243;4709
47;1407;2212;2374;350;3914;1382;3282;4352;2822;1886
48;3016;1015;3485;3256;2713;1422;1651;1611;240;299
49;960;441;513;2715;278;1291;758;1261;1742;4606
