;0;1;2;3;4;5;6;7;8;9
0;2273;198;2375;657;2069;1477;492;725;805;1749
1;319;2509;1939;2514;631;2231;956;1720;831;477
2;1587;1072;593;1018;1616;1378;760;1716;950;1040
3;56;1301;521;1230;11;1749;2444;644;548;2023
4;1221;1362;912;2018;599;1541;5;1012;1630;1725
5;1035;1181;2360;1463;726;2027;2315;815;1498;127
6;104;1909;1393;2096;1372;450;1356;1109;29;1975
7;153;970;204;976;1831;764;894;952;1995;2101
8;1136;47;1974;1485;2243;325;2009;828;1571;1600
9;91;998;400;1230;331;1382;326;1294;1148;1651
10;1854;1393;1103;2230;1603;735;909;2211;2263;162
11;655;70;792;2408;689;491;524;1811;1761;2433
12;1533;840;1445;2087;477;542;767;1777;1814;243
13;1225;1885;1330;2351;1311;317;1805;1054;1199;670
14;236;2323;1136;936;804;770;1956;2096;741;309
15;1451;54;1808;2163;1288;1198;1136;1231;2453;1404
16;414;2536;2364;627;1491;1399;407;2458;1607;2255
17;2471;1433;639;1084;2120;1708;1885;538;1312;1313
18;1485;353;504;2386;1875;389;771;404;1393;1158
19;1317;208;1136;305;800;478;31;1750;1633;951
20;2396;1717;1462;84;680;806;1918;2145;819;1644
21;389;1184;0;846;308;758;1109;1991;1968;1844
22;526;2393;805;788;2514;533;995;547;1372;219
23;1352;109;1565;2480;2115;1313;1763;951;1154;1172
24;2101;1727;1593;1341;1911;1024;2123;366;1145;387
25;724;1752;1920;804;971;429;1324;1628;1464;1653
26;665;1418;109;792;737;1986;2172;1556;1651;1317
27;2069;1851;194;317;2364;378;407;1955;1267;635
28;1406;2307;639;1346;858;2470;2069;1958;897;54
29;961;725;1759;1232;373;1375;1153;2086;2232;645
30;1466;2136;1189;1939;2390;2498;377;1239;872;517
31;688;87;490;1432;1952;645;1651;1388;521;2321
32;1653;1195;1805;1495;942;2138;2194;1711;1128;935
33;636;267;352;2508;1396;1698;1581;1584;1514;2271
34;805;1987;1113;1153;1845;1501;2157;2472;457;384
35;29;401;812;441;820;142;70;2039;2336;494
36;837;1696;1940;2491;2471;224;2364;827;1430;1897
37;1308;1891;1757;1605;1021;1925;296;2409;1272;1406
38;579;2466;2035;2149;1493;2528;1708;1326;1771;1079
39;1446;1944;722;527;1095;1258;2196;422;758;2010
40;2250;210;1391;1330;1755;719;2103;1916;332;980
41;2264;1172;1602;2155;2021;1995;473;1805;621;1920
42;2465;563;1958;244;36;2137;1259;1483;1155;1774
43;164;2250;1488;1033;2066;1587;1849;1242;1915;332
44;1746;2006;632;2363;368;1160;19;2477;629;2071
45;2393;49;1343;111;1023;1220;1971;213;149;340
46;1685;2363;876;195;849;2252;2030;397;1327;1572
47;1658;2217;712;1488;604;892;1538;216;534;1115
48;1784;1152;551;1890;497;45;1430;2339;680;871
49;1137;1135;1524;326;1224;9;1817;2264;126;1852
