;0;1
0;3573;3120
1;5199;4536
2;858;4555
3;4402;684
4;3323;1700
5;2284;886
6;2253;482
7;4466;3828
8;3110;221
9;2150;106
10;4978;2018
11;3694;4727
12;3806;2229
13;382;4161
14;899;4103
15;4241;3689
16;2392;4540
17;49;1275
18;4018;1203
19;4313;3044
20;3250;1478
21;2464;4000
22;5198;4557
23;1883;776
24;4403;3026
25;3072;3359
26;4421;302
27;1214;4020
28;1410;374
29;954;3428
30;1636;5006
31;804;4361
32;1002;3945
33;2488;2818
34;1602;4718
35;3750;1177
36;4118;2829
37;459;3331
38;3758;576
39;991;996
40;1504;149
41;376;3905
42;1373;610
43;5128;2786
44;4122;2367
45;171;2317
46;184;3226
47;4890;530
48;3445;4348
49;3071;1514
