;0;1;2;3;4;5;6;7;8;9
0;903;296;1605;374;4044;809;369;2789;4498;3797
1;3919;2928;865;346;882;875;2599;241;902;241
2;1934;927;2700;3792;4093;545;369;854;1521;3005
3;3526;373;4845;374;1462;1593;100;1763;101;251
4;4848;3496;273;346;3034;4422;3353;620;4739;697
5;4022;5083;11;374;1517;457;1599;41;1084;241
6;4371;2008;653;346;103;295;100;41;73;1155
7;4054;1764;273;296;1037;89;1087;1698;3487;159
8;2790;296;4026;296;1176;264;593;2072;3369;1618
9;3700;1872;672;346;2043;295;2308;791;3369;491
10;101;4540;1797;296;103;89;1154;41;27;419
11;101;2679;3534;346;263;264;245;4365;4215;582
12;1934;4130;108;4846;2027;632;100;41;878;491
13;1534;1116;2982;3626;103;2124;3900;3496;2562;419
14;1269;236;672;296;1037;4936;2599;620;711;296
15;273;236;1371;3367;4044;545;369;41;3673;251
16;358;147;11;3753;882;1593;2599;286;17;697
17;3700;2872;2975;3814;4093;4422;369;289;73;984
18;101;3262;273;285;1462;457;100;299;878;241
19;2340;2008;4623;296;1517;875;789;791;3369;697
20;4371;1764;522;374;4044;295;1154;838;1515;241
21;4054;296;5090;346;1207;4698;100;289;101;3157
22;101;1872;1605;296;1037;2375;1158;299;4739;419
23;1934;1764;4655;374;318;1157;369;791;1084;582
24;3526;123;273;346;1971;524;988;289;73;241
25;3526;236;1371;1515;2186;545;3411;475;3487;159
26;375;2008;4845;2494;3890;1593;3140;1763;3369;1618
27;698;123;273;3367;1176;264;1087;620;3369;660
28;1269;1458;5090;374;2027;545;593;41;27;491
29;3700;296;273;346;103;1593;100;3496;3369;419
30;4656;1116;11;3925;263;4522;369;289;4029;582
31;903;1091;653;3367;3594;1593;100;2253;1643;296
32;101;3530;273;3753;3766;4522;3633;2789;73;251
33;4429;1872;1371;3814;846;89;988;241;387;697
34;4927;882;11;3963;3006;264;3411;854;1084;241
35;101;296;4026;1288;4044;457;369;85;3858;697
36;101;1764;4026;1607;882;4422;2599;1309;1305;4301
37;1934;296;672;4469;2000;457;369;5162;1094;251
38;1035;2928;1797;1288;2186;4296;100;2645;73;1155
39;1146;927;11;4304;2027;457;3353;286;3487;926
40;3968;1116;273;3963;103;3647;1599;854;3369;697
41;5171;3496;4732;1288;263;295;100;85;1664;241
42;101;2620;1371;1607;1037;4936;1599;41;160;3005
43;1934;4950;2528;3963;1176;545;3633;3496;878;2954
44;1269;1091;4026;1288;2027;1593;3411;289;106;697
45;3549;296;4732;296;1517;2157;914;620;483;241
46;903;1872;273;296;1037;89;4705;435;2770;1155
47;101;882;11;296;3034;264;369;838;2770;296
48;1934;296;653;3626;1517;457;876;4076;73;2156
49;3526;1764;273;296;1037;988;876;3188;3487;980
