;0;1;2;3;4;5;6;7;8;9
0;4931;6807;5564;545;6875;2213;6888;1195;6424;378
1;231;2976;30;2072;483;286;781;3125;877;1404
2;5850;6087;7;5201;546;2590;2919;2227;1052;877
3;836;734;1687;5124;4106;2374;322;933;483;408
4;3345;1065;6076;2529;6928;105;517;3714;286;3714
5;4466;5201;630;5075;2550;1371;286;5957;1052;2218
6;2013;7023;4424;690;401;6088;3121;773;5401;959
7;2342;959;1183;1800;4027;326;959;2453;4956;5594
8;3192;5594;1912;656;508;5242;5201;2374;1146;430
9;5682;4314;1350;5042;3179;286;4495;711;2377;408
10;3340;408;286;286;5527;666;1404;2979;1687;3682
11;6083;877;30;30;1221;2858;3468;715;3714;2606
12;30;1350;326;6047;2371;2013;5792;5201;5808;2665
13;2840;1404;190;699;1183;699;220;690;1221;250
14;1146;483;2377;4362;2374;408;5340;2374;2013;1790
15;1018;3714;3309;3714;6270;2741;4009;4790;4011;2837
16;287;4362;3465;6260;1247;4362;82;3842;1350;496
17;3100;5305;1345;517;1094;2686;959;30;408;1146
18;6330;30;1421;2240;2374;1274;1065;4248;4362;1183
19;6338;2013;3821;2013;3730;773;4605;773;5086;1274
20;934;1687;4451;6641;877;1183;2374;4684;286;4903
21;959;1018;1247;30;699;196;331;408;207;1158
22;1576;1052;3831;6760;30;902;4362;699;740;1065
23;546;734;773;4378;2013;1018;4732;3240;408;30
24;408;2374;322;6826;198;4867;4298;1024;1643;2013
25;3669;5201;30;3159;2;322;3867;1221;3785;408
26;3948;546;4158;3898;3352;934;699;82;2374;690
27;2013;1072;408;1052;1586;3068;6527;922;41;322
28;4362;430;4625;1786;3925;775;785;1305;1687;2281
29;286;4058;699;483;220;959;1350;1643;1778;1643
30;1052;220;1221;4555;656;6371;2013;2013;699;3107
31;6155;2665;1183;495;734;6585;2248;3387;4587;2953
32;1221;6544;1072;4665;1183;58;1687;734;6527;5533
33;734;176;3615;1052;1274;220;4328;997;2;1687
34;2665;1183;2993;5709;656;1146;483;2763;542;600
35;699;1146;699;508;1139;2632;773;286;3744;1194
36;2055;1183;3155;4055;734;2665;1370;1247;4995;5245
37;194;2374;1052;43;1039;5201;111;3635;3438;1121
38;409;6986;5825;1883;2374;30;3714;2227;1797;58
39;3870;331;2013;734;775;5179;656;483;30;2374
40;58;5163;1274;247;286;3714;483;483;656;1425
41;863;2309;1146;409;3231;1480;4461;1065;1183;3744
42;3723;251;3714;4209;1643;1577;4957;2665;777;4990
43;3714;408;959;4439;214;1146;543;959;1065;6484
44;699;3395;430;408;5799;31;1052;5201;2256;2564
45;3056;5617;483;4506;1052;1052;3790;4605;6088;3259
46;1687;699;1072;194;3714;483;408;3161;2665;699
47;4432;1274;4215;190;1263;4064;30;1362;1065;3772
48;546;762;773;4960;5957;2173;2665;286;2005;4169
49;5389;6110;934;775;408;577;1146;3450;1018;3186
