;0;1;2;3;4;5;6;7;8;9
0;2208;2116;1193;861;1903;622;590;1307;1549;1857
1;347;1154;2095;1285;268;1744;2131;1270;1596;1198
2;1922;382;1970;1032;1589;2007;159;206;831;1088
3;795;939;1223;1097;2186;21;1693;2200;1166;51
4;648;237;709;1618;2001;2197;506;276;913;1298
5;2295;1644;835;127;1373;1968;1390;1813;1587;835
6;2510;1389;631;1013;386;1975;794;2399;690;2503
7;555;1463;2428;1239;493;1403;1406;380;1301;1991
8;19;233;1956;735;1330;2160;280;1535;1312;1009
9;1446;428;2227;1685;114;1018;2086;248;2293;1136
10;1447;2156;964;237;54;2343;835;1706;2128;1463
11;374;2008;817;605;108;335;42;1118;19;1929
12;433;1781;1568;1822;540;1979;631;1665;1596;2355
13;1013;1852;734;1460;2071;680;465;1266;1952;625
14;2149;1750;313;1324;1394;86;1194;2438;1146;2248
15;2384;2069;1910;973;2138;296;1;820;1370;2406
16;1327;1862;2306;563;155;268;2411;2136;2136;2295
17;1282;2093;2298;126;2000;714;580;2337;2484;459
18;1300;2313;768;2466;1599;1518;1538;317;366;2343
19;1711;1719;1370;397;347;2055;2521;1103;560;1184
20;1317;619;2006;1059;1329;1775;1922;2449;1986;1138
21;1263;2388;559;192;975;2363;724;450;1941;1827
22;617;1692;199;2226;1581;97;901;1312;1805;1491
23;1513;2376;1825;123;660;1481;1975;1967;668;508
24;2069;256;762;184;1270;560;2363;1974;580;170
25;1461;2247;965;1044;1157;494;2281;1972;180;1649
26;1716;2239;447;153;323;2117;912;938;878;1452
27;566;883;972;478;261;224;604;153;667;1293
28;2401;31;1512;1099;340;395;414;538;269;2463
29;2280;715;66;305;1911;1079;1154;235;15;1595
30;404;2396;416;566;1297;1717;2470;2139;1989;876
31;669;744;2426;1106;148;336;34;2420;1444;1007
32;2420;2429;173;1332;1502;1852;786;42;1051;2361
33;1003;1944;646;268;1611;793;1961;2364;1463;2155
34;1402;812;20;1362;1056;1796;321;687;177;131
35;1473;2087;840;2138;813;792;237;1867;120;21
36;2069;937;1759;1740;2157;2042;1859;1693;347;2033
37;1824;1048;2253;1274;836;2156;151;836;2349;1637
38;1174;1936;1171;202;1992;118;1741;1311;1137;2106
39;948;2392;707;801;932;104;326;518;647;921
40;2238;2200;1382;2053;119;2179;1014;921;29;2456
41;1301;1046;2507;2328;776;2484;760;412;1392;1441
42;1522;1452;2418;157;2016;237;1127;1742;2006;1417
43;2349;691;238;234;1191;2443;401;170;2365;339
44;221;376;2303;475;1324;650;672;2393;2190;320
45;5;649;559;1850;886;952;1091;86;1364;1247
46;312;1514;1099;1800;2502;2533;649;1192;1177;2155
47;393;2137;132;1448;909;604;208;1370;1694;2360
48;1780;2135;10;458;291;102;2502;1204;806;2469
49;921;1887;970;2292;1489;1605;1087;1800;850;1862
