;0;1;2;3;4;5;6;7;8;9
0;2002;230;920;281;1327;553;446;1825;2067;1314
1;479;2445;983;1429;703;1268;1595;986;972;685
2;2274;1399;463;1026;2393;2367;634;386;1908;1369
3;1495;1079;864;1497;2107;1897;2050;766;1290;2470
4;1285;1793;1822;698;83;1761;1603;1722;1270;571
5;1517;2229;2071;1312;2016;2024;1568;2104;517;326
6;1262;1418;715;1311;434;1081;751;2232;1880;1932
7;2198;1027;247;1812;474;631;634;1823;796;848
8;1373;909;1604;1137;2195;1110;1197;1987;1600;80
9;111;2144;1564;2347;381;111;1321;2345;2122;2235
10;37;1032;1317;2195;2025;1360;1804;2364;838;2208
11;384;2081;1166;1275;436;348;583;20;899;2395
12;88;1243;1154;2061;488;1043;1168;921;734;981
13;1406;998;144;2250;444;1672;192;1131;382;465
14;256;1874;279;631;2411;125;1155;2536;754;751
15;558;1700;2484;1270;264;1957;1102;386;1875;1762
16;2384;1002;2490;2141;1002;767;2414;2198;1081;719
17;321;1352;297;1059;581;1531;1043;219;1853;23
18;833;188;1488;1986;6;737;240;192;631;631
19;1622;2351;524;1824;313;1764;488;2149;413;1945
20;875;739;961;1860;2183;2130;32;2517;1325;324
21;349;614;2228;1904;1746;2136;1310;1269;730;979
22;1684;1442;1018;1876;1987;326;1963;2136;2069;816
23;1991;1249;534;2138;1948;2454;411;176;565;1816
24;78;1712;2310;1111;2138;1369;1594;381;2274;2072
25;441;2009;2154;1671;1490;213;1561;1982;1178;2535
26;1982;676;567;1743;2524;2070;564;1694;2127;671
27;324;879;557;1321;738;1350;728;1918;2416;492
28;1703;1192;2343;458;1804;1021;1273;17;2536;819
29;1547;2105;386;280;285;1909;1729;2079;1075;1682
30;1779;1351;746;1643;2432;1135;2136;1734;607;297
31;535;413;2136;2386;2522;1155;1955;391;746;845
32;714;1142;1845;889;2279;945;1441;229;476;2156
33;1315;2303;682;440;215;1788;2470;557;209;1634
34;1609;1457;904;492;1399;1965;1779;1011;2006;448
35;1138;190;222;330;2206;1766;1696;125;543;2092
36;1597;1968;2365;994;1629;1825;2009;2336;2313;1188
37;1300;1968;2393;1463;2453;1634;2004;155;1656;1823
38;1406;2420;2247;340;1761;1508;1418;1407;383;2518
39;395;856;401;1064;2013;233;40;2199;783;1723
40;1805;1584;1175;2366;1393;396;1265;1075;714;2428
41;2071;2459;581;546;237;868;1592;1154;1394;1075
42;2477;2106;441;2492;684;1430;712;1861;733;1046
43;2101;2023;1690;1247;1522;1700;1616;170;405;166
44;490;2179;2187;2219;637;1743;177;151;790;2016
45;51;1433;2232;1831;1290;974;198;980;23;1168
46;885;998;12;896;2404;2229;1587;1106;1313;1627
47;60;970;1799;1730;1211;190;1888;607;2323;350
48;1685;1814;332;36;1566;991;557;2197;224;1317
49;2260;164;280;1563;1339;1172;8;464;2347;83
