;0;1;2;3;4;5;6;7;8;9
0;1154;982;154;169;2308;2476;728;735;1913;1843
1;1812;2466;1751;2530;845;2339;1741;2524;1187;612
2;1563;1154;339;1098;111;668;2023;1822;1534;786
3;1968;2271;1564;264;2459;1756;2108;1517;1537;2325
4;325;2538;2239;499;1851;327;2137;1018;773;1956
5;834;1890;537;2246;1712;414;2480;1204;572;1795
6;1046;1466;2143;1231;1939;1596;1251;1136;61;1743
7;1033;506;1587;38;1854;2481;84;1699;1417;2221
8;1348;781;529;1137;2531;2474;2026;2116;2182;2160
9;2118;1824;960;1168;2537;887;2118;767;638;410
10;1049;1103;345;1222;663;1390;2492;1793;631;810
11;1375;1651;140;802;289;1271;2354;361;2202;2165
12;1362;1946;707;1926;2364;1704;1097;132;2527;381
13;642;649;1372;2060;1654;572;2061;1511;2157;2337
14;1442;1495;1974;339;1025;1890;2420;1808;2480;646
15;2416;194;1904;308;2069;1415;560;510;2163;631
16;1300;2094;1912;2242;2496;2104;2236;442;1308;1380
17;2506;1143;2131;154;945;1217;1429;2524;194;1547
18;326;231;662;2068;2401;391;2422;121;1741;1220
19;956;381;1892;1399;507;12;1508;504;1005;2511
20;1506;333;2285;2172;143;105;1946;1946;1945;1748
21;283;2527;2463;1627;2510;2050;2252;2383;1904;2274
22;1957;1593;1897;1894;151;1966;557;340;235;2510
23;1335;1422;2383;1672;1517;1341;680;1538;44;395
24;1939;2138;2377;1904;31;1137;1969;2452;18;1473
25;2350;489;904;1193;2264;973;538;1155;280;1689
26;414;2474;1596;1656;323;1975;2302;2446;2037;2046
27;2505;1338;150;1968;1831;223;1654;2034;786;2051
28;294;268;1060;2392;583;1011;2484;1395;2066;794
29;1460;566;258;978;1693;401;478;2300;2491;1637
30;2385;57;1586;1366;221;2023;1786;2396;652;2136
31;2375;1228;1886;2069;145;2538;48;2006;2532;261
32;2523;249;639;2364;2023;1494;1047;2474;2216;2099
33;1653;1097;1946;1413;729;2492;879;783;1781;1904
34;1005;281;887;1983;1324;1189;1670;2350;1140;1415
35;1096;681;628;486;2193;828;38;2133;1920;65
36;2393;1991;2530;2045;1808;2149;1018;2003;2363;1463
37;1334;1927;2212;2016;2156;2036;447;1162;2350;2206
38;1991;1405;141;151;121;476;1567;1473;513;2261
39;1953;2283;1169;945;2162;934;221;2538;259;1789
40;1777;2474;2137;998;831;31;1766;1447;922;1257
41;1066;1956;387;799;2446;763;717;634;1780;1831
42;2007;1874;1560;1652;88;1112;751;1987;667;1572
43;2466;1730;228;1140;2531;2145;1757;2380;2016;157
44;1508;2327;642;835;1337;1719;707;749;2024;1472
45;1155;2363;1159;1396;1114;1956;2053;1413;153;717
46;1744;2193;2432;394;2474;2026;471;271;1688;2363
47;1247;2171;88;531;1364;2532;702;2323;1975;105
48;408;670;1624;460;2311;96;505;1851;1547;1939
49;1931;333;1975;2175;2520;2138;1958;1673;1475;1937
