;0;1;2;3;4;5;6;7;8;9
0;6;22;35;57;22;46;46;62;2;21
1;28;10;9;9;9;44;7;5;17;23
2;31;23;69;63;28;41;2;33;38;28
3;39;54;15;21;49;32;61;47;9;46
4;68;9;46;44;32;63;60;22;46;40
5;65;53;67;23;41;14;19;13;17;39
6;49;61;56;46;22;63;40;5;14;62
7;25;10;42;7;53;37;37;9;18;7
8;7;62;40;47;61;20;66;68;33;35
9;48;0;38;49;67;60;41;38;13;54
10;63;32;26;1;59;22;53;64;13;61
11;22;65;17;60;17;41;49;66;23;12
12;62;11;62;51;57;47;14;62;44;16
13;57;4;23;40;21;36;39;14;6;54
14;49;40;59;33;65;57;37;41;49;13
15;37;14;2;18;12;41;53;47;28;11
16;4;44;34;69;26;67;28;65;60;17
17;38;16;45;3;54;58;5;50;38;18
18;66;56;6;24;39;30;8;52;47;43
19;20;9;47;26;30;25;44;39;10;41
20;16;34;1;12;53;10;48;3;60;9
21;52;38;55;13;41;54;69;46;5;46
22;58;19;30;52;39;11;11;9;9;7
23;45;67;17;36;23;18;56;40;47;11
24;67;60;63;43;3;2;11;7;69;49
25;13;49;14;36;46;4;45;20;64;28
26;9;56;35;45;49;21;51;23;53;9
27;6;6;14;58;14;9;28;11;16;52
28;1;38;48;18;0;39;19;55;48;65
29;9;28;55;11;8;0;43;49;42;29
30;68;33;49;66;62;43;23;31;54;57
31;32;57;50;9;67;20;63;60;58;10
32;13;41;18;11;14;7;67;10;61;2
33;1;36;1;14;18;32;52;25;22;55
34;49;7;50;69;65;62;8;7;41;68
35;19;50;44;16;30;65;59;47;20;12
36;0;22;7;46;11;16;48;63;14;29
37;16;28;38;27;9;28;9;9;53;9
38;31;30;39;67;61;11;55;37;59;45
39;13;46;41;20;48;68;51;33;37;51
40;30;20;60;14;26;42;24;36;57;48
41;59;50;18;39;56;63;17;19;44;33
42;54;42;64;6;64;40;64;35;68;17
43;36;41;54;12;15;0;47;38;11;24
44;46;65;12;34;37;22;32;53;39;8
45;26;55;39;46;18;47;63;54;39;45
46;66;17;44;29;13;32;34;3;55;59
47;14;51;31;47;59;3;18;37;7;18
48;15;43;11;32;7;40;64;18;29;20
49;24;0;30;58;12;57;5;39;36;57
