;0;1;2;3;4;5;6;7;8;9
0;9;159;206;155;130;209;230;44;106;127
1;7;40;130;92;71;157;201;112;218;149
2;30;11;165;206;92;111;72;143;173;72
3;167;202;30;138;102;40;86;40;197;174
4;75;77;19;40;112;106;225;174;74;24
5;204;215;209;126;197;174;187;28;27;178
6;106;235;17;168;4;201;22;184;37;206
7;170;11;191;155;218;228;156;116;23;139
8;201;220;218;197;8;46;55;71;61;31
9;45;3;134;108;57;44;130;107;78;166
10;191;4;54;108;183;88;175;95;27;13
11;61;173;27;17;69;227;210;152;21;18
12;206;163;8;59;116;108;195;4;169;102
13;122;139;111;156;116;204;150;37;109;239
14;167;9;90;53;206;142;223;197;185;108
15;120;42;131;39;210;213;220;38;62;97
16;4;71;152;229;80;19;213;157;137;25
17;28;212;33;159;149;59;212;21;131;154
18;79;165;208;136;165;116;172;229;156;7
19;25;212;28;200;202;67;73;127;43;43
20;57;167;155;159;171;134;174;150;165;89
21;46;132;62;196;159;149;30;216;37;23
22;98;229;35;139;27;159;209;47;201;156
23;71;205;23;7;114;159;46;151;149;163
24;226;165;193;99;103;23;179;209;47;46
25;77;156;174;103;173;162;66;166;94;226
26;101;47;57;72;143;231;149;10;144;99
27;20;94;74;18;107;229;136;168;134;136
28;156;13;14;144;122;77;94;37;19;230
29;174;61;107;83;61;9;1;111;138;172
30;133;6;183;187;75;197;92;209;112;42
31;19;136;157;217;47;171;192;9;65;166
32;71;137;27;85;165;147;107;136;73;154
33;230;61;232;19;144;163;5;225;231;190
34;92;87;62;117;212;166;237;70;72;94
35;35;141;80;23;47;85;229;6;210;27
36;138;195;185;239;112;29;70;133;209;2
37;137;144;94;226;99;112;137;83;39;150
38;217;209;235;230;156;191;111;35;99;115
39;168;35;71;164;207;108;112;178;229;225
40;147;199;8;173;232;14;24;130;59;197
41;59;115;29;2;71;206;142;129;53;141
42;230;4;159;40;6;167;59;111;228;119
43;50;32;208;47;42;83;23;19;18;19
44;136;186;77;200;111;240;135;74;99;133
45;112;206;167;25;141;158;42;61;19;24
46;67;19;29;43;142;182;166;47;29;112
47;236;83;197;214;237;28;100;23;237;239
48;165;168;146;23;156;10;94;16;159;74
49;136;156;29;64;139;230;117;225;45;38
