;0;1;2;3;4;5;6;7;8;9
0;17;224;94;168;80;97;226;206;169;157
1;80;163;54;174;203;156;28;67;206;68
2;73;145;159;13;148;215;181;197;116;59
3;122;98;165;181;189;24;12;167;122;67
4;111;18;57;120;165;212;193;134;106;71
5;131;230;62;47;3;48;114;166;118;35
6;29;128;203;159;101;69;222;123;47;172
7;21;61;37;149;19;72;76;164;154;39
8;71;22;11;42;25;76;163;157;23;190
9;55;136;43;24;112;31;105;77;156;74
10;130;116;147;69;115;197;144;147;98;226
11;74;169;229;216;38;230;122;92;58;28
12;203;224;156;136;219;42;172;182;166;44
13;231;51;4;4;88;136;59;30;77;73
14;58;106;158;132;106;142;199;93;134;185
15;76;30;167;77;127;61;238;100;25;129
16;148;31;228;27;232;95;134;112;114;220
17;213;212;142;97;58;10;48;149;173;116
18;203;72;174;31;236;42;226;44;62;141
19;112;139;237;235;152;8;183;128;112;235
20;30;134;164;219;216;77;78;20;197;202
21;61;74;30;165;156;146;108;80;113;111
22;173;149;209;134;95;93;192;21;52;218
23;133;197;134;49;232;94;42;59;116;81
24;155;116;215;167;149;96;213;229;72;100
25;18;18;129;115;72;23;189;10;164;217
26;35;113;111;94;35;174;51;26;137;177
27;231;25;175;47;99;94;72;0;88;197
28;194;44;54;240;162;225;93;173;103;127
29;119;46;197;186;173;91;222;137;210;30
30;150;177;42;228;203;29;115;159;169;173
31;115;122;145;15;67;191;17;106;40;23
32;36;206;7;145;116;171;157;128;208;160
33;137;234;147;37;46;134;19;6;137;159
34;230;73;95;156;112;148;236;28;205;229
35;167;99;37;123;158;69;139;181;115;17
36;42;157;223;197;123;127;48;214;159;106
37;38;169;62;224;35;159;89;202;111;187
38;197;102;72;19;165;28;7;72;232;164
39;17;116;207;109;30;168;116;222;232;191
40;141;40;143;165;28;154;168;170;197;60
41;10;77;25;80;200;178;174;39;236;206
42;218;173;17;61;134;82;103;180;86;27
43;72;202;167;108;208;182;230;42;141;28
44;116;192;34;58;181;143;216;100;230;57
45;86;196;111;57;136;216;196;111;199;149
46;209;111;112;62;187;59;13;178;97;141
47;161;43;178;44;206;88;235;141;78;101
48;169;23;165;184;156;94;208;214;126;42
49;34;159;234;174;159;168;195;201;222;57
