;0;1;2;3;4;5;6;7;8;9
0;216;111;84;210;147;101;136;136;180;43
1;183;196;202;9;190;48;50;179;176;172
2;50;79;79;119;10;139;101;160;166;63
3;96;28;162;51;32;149;208;88;112;69
4;70;111;93;134;183;83;76;64;114;6
5;168;155;86;34;123;20;66;24;136;2
6;170;15;160;69;13;12;12;125;182;8
7;24;91;81;28;175;196;84;190;212;179
8;112;182;96;69;107;212;12;90;156;79
9;171;135;2;167;164;170;89;77;123;200
10;64;35;78;105;195;40;200;186;144;24
11;201;205;107;128;31;84;183;134;120;69
12;82;187;165;60;183;186;58;171;9;95
13;34;199;35;190;183;97;178;172;133;69
14;136;165;145;112;121;91;97;151;185;74
15;57;79;134;205;116;90;136;46;146;14
16;34;112;183;180;198;212;171;75;96;31
17;194;40;199;55;131;2;107;119;131;172
18;190;190;49;136;91;2;61;134;181;94
19;58;177;60;24;3;149;216;1;119;63
20;140;40;194;91;183;145;196;119;40;145
21;155;127;183;79;55;134;123;140;83;159
22;36;160;63;71;146;174;215;124;20;93
23;104;181;112;1;176;168;62;184;133;2
24;183;126;91;173;77;150;134;78;69;167
25;194;111;40;114;72;200;187;10;184;150
26;184;161;86;41;107;172;190;212;93;160
27;69;147;121;40;83;150;167;166;179;42
28;9;39;2;156;211;197;30;100;69;120
29;81;206;119;35;107;59;46;168;176;43
30;10;185;158;80;92;4;120;164;59;156
31;3;198;114;200;25;93;119;64;151;24
32;9;75;135;179;205;68;73;151;150;204
33;58;59;192;22;177;190;140;45;30;172
34;91;90;78;69;31;145;75;183;167;56
35;19;112;27;1;167;14;177;109;46;69
36;121;209;89;136;112;71;171;131;156;14
37;69;109;113;166;212;213;146;104;160;183
38;78;52;119;112;16;48;110;11;96;35
39;131;133;77;112;74;17;138;58;40;0
40;172;127;112;192;116;202;54;24;136;23
41;126;127;82;62;190;31;150;37;119;154
42;167;156;32;134;202;59;202;136;145;117
43;37;50;169;213;33;138;51;24;81;190
44;81;168;1;47;126;214;183;105;76;210
45;64;86;49;168;53;123;91;6;196;24
46;29;33;46;34;63;139;112;52;119;144
47;95;197;155;151;121;162;26;162;211;3
48;110;147;1;120;191;157;28;40;43;151
49;170;158;93;35;198;168;9;91;193;166
