;0;1;2;3;4;5;6;7;8;9
0;139;75;64;74;112;27;13;164;128;83
1;69;32;39;64;150;56;180;12;132;108
2;181;116;197;82;36;158;149;3;130;42
3;112;161;129;61;202;104;103;208;95;209
4;46;122;79;60;11;80;157;145;47;51
5;215;211;87;112;128;65;119;169;149;119
6;66;174;165;168;84;186;190;87;150;39
7;178;126;91;51;26;214;76;129;2;116
8;110;95;21;145;36;70;68;35;194;26
9;18;204;81;16;189;112;168;83;60;161
10;46;143;164;138;16;108;2;183;24;24
11;78;86;183;16;110;170;187;175;4;178
12;66;47;45;170;136;85;26;162;35;152
13;195;31;131;128;1;191;170;71;69;202
14;48;68;13;128;202;127;108;159;144;6
15;69;75;151;186;119;72;149;104;165;104
16;37;110;123;183;173;144;216;135;72;21
17;188;183;150;137;62;16;159;190;8;119
18;90;213;13;69;215;187;147;215;215;3
19;140;117;128;3;1;119;207;143;90;190
20;2;168;89;168;189;69;124;175;64;23
21;196;173;203;210;173;32;170;127;17;51
22;179;130;104;154;18;172;138;170;28;183
23;71;190;119;165;160;192;120;35;120;165
24;210;144;140;5;53;69;184;199;142;1
25;141;3;16;13;40;25;119;200;40;123
26;38;134;156;25;26;157;13;122;34;83
27;29;177;108;192;107;58;16;8;183;173
28;191;103;91;144;69;68;196;49;130;96
29;134;12;24;189;12;27;51;209;120;180
30;99;9;79;171;181;104;140;12;191;42
31;12;110;136;11;195;99;152;208;169;135
32;73;68;52;16;66;129;107;106;28;124
33;210;132;173;64;60;69;183;213;191;91
34;109;176;64;66;69;98;17;123;24;107
35;164;65;190;199;211;93;58;41;83;73
36;12;40;52;115;119;135;107;164;102;183
37;179;43;208;56;112;11;91;165;164;97
38;124;122;201;3;183;77;132;54;42;54
39;53;27;2;112;89;16;162;90;110;21
40;177;130;119;120;75;132;24;151;77;202
41;2;3;36;166;181;58;145;12;194;128
42;212;33;179;81;107;44;62;89;1;203
43;4;128;119;81;16;75;70;95;23;108
44;152;108;1;165;97;93;83;135;105;183
45;29;202;51;135;69;65;183;35;190;164
46;183;49;1;135;150;69;187;133;156;198
47;134;110;64;177;173;147;95;196;116;90
48;15;106;97;93;193;200;16;103;4;119
49;74;120;202;196;166;61;91;127;51;30
