;0;1;2;3;4;5;6;7;8;9
0;69;190;211;44;51;76;112;138;14;168
1;138;13;128;123;151;112;112;101;139;112
2;135;72;17;167;120;152;214;56;132;46
3;132;79;138;23;55;174;107;116;108;47
4;64;18;123;86;174;168;134;104;112;46
5;79;216;32;131;1;166;101;86;141;112
6;108;119;34;155;144;97;53;5;196;190
7;69;103;215;149;135;180;210;119;26;155
8;87;164;202;5;203;153;125;147;63;136
9;89;41;35;196;134;121;10;79;9;119
10;121;77;32;197;154;32;97;89;0;29
11;191;201;149;5;44;125;216;127;64;210
12;69;10;194;96;39;157;64;190;96;98
13;97;146;35;8;148;138;196;112;152;182
14;197;191;98;117;74;81;88;202;143;190
15;192;182;105;69;32;180;120;7;115;83
16;104;183;18;24;117;123;2;160;130;154
17;57;133;64;131;134;125;213;64;134;188
18;200;202;179;90;51;200;200;64;170;180
19;91;105;190;24;112;106;215;134;126;55
20;27;79;127;183;204;196;198;202;190;208
21;24;0;80;112;120;198;69;101;127;127
22;121;216;152;183;35;12;77;32;180;64
23;207;187;198;92;74;202;56;86;89;76
24;107;9;190;191;216;109;117;209;74;156
25;196;18;69;152;176;191;103;131;101;9
26;0;101;128;117;130;8;109;152;173;28
27;202;57;185;204;27;9;109;149;108;52
28;106;93;194;19;28;35;101;18;62;122
29;190;191;98;108;20;69;90;196;71;176
30;76;72;104;129;164;173;34;133;206;196
31;49;57;135;100;114;148;94;112;162;56
32;195;119;90;69;34;180;112;109;209;152
33;170;4;104;170;99;35;29;112;210;14
34;24;181;109;70;1;191;69;23;96;70
35;41;26;170;96;166;35;64;152;82;100
36;123;208;147;65;8;92;44;64;121;123
37;116;42;11;190;191;168;98;144;25;69
38;183;146;69;44;204;131;196;190;199;116
39;2;32;103;129;131;83;89;101;36;109
40;39;119;112;92;136;202;166;40;38;53
41;70;134;196;183;29;60;132;188;39;69
42;141;29;18;41;117;12;2;108;64;143
43;96;196;199;149;102;27;141;33;169;122
44;131;46;64;125;79;90;6;89;112;123
45;215;24;213;200;70;128;210;205;22;197
46;81;74;8;69;190;34;95;73;50;168
47;17;151;181;4;111;32;190;18;103;119
48;190;34;70;182;196;69;185;1;0;96
49;109;33;28;65;131;137;156;42;127;187
