;0;1;2;3;4;5;6;7;8;9
0;2176;703;3212;4737;2867;4099;1436;729;4877;1147
1;4522;4258;1631;3863;2705;3004;4555;566;4551;3134
2;1277;4130;331;850;2469;4075;1826;2030;4343;1424
3;2962;1345;4196;2102;4575;2108;1466;3245;971;299
4;3663;3601;3768;3653;2775;276;2530;4308;2659;4305
5;854;2823;1436;4900;47;3718;463;2966;4557;2858
6;3749;4125;677;4335;3845;2241;72;1289;766;1352
7;249;4556;4516;2099;536;3031;2638;2672;1298;3218
8;4527;4568;10;1592;2304;1741;632;4351;4552;4792
9;4478;4237;166;869;632;4040;994;4555;4607;2433
10;1266;596;4543;994;2969;2563;3810;1392;1075;4202
11;1789;2763;4525;1654;1191;1099;4595;1890;2577;3049
12;991;4520;1816;66;4532;4771;951;2023;4136;4729
13;176;211;4862;1620;97;2301;4835;2119;598;4556
14;3138;1097;4045;4649;2701;3567;3925;3604;2403;2942
15;2858;2990;1967;2912;3045;2170;2381;2246;2761;763
16;4733;3907;1348;1547;4722;4515;340;3661;4544;1037
17;1339;655;2041;2774;2790;1271;3651;1213;1227;730
18;4175;700;4523;389;4778;1657;1593;531;2000;933
19;3912;2932;785;4203;4548;3503;4086;4519;1947;4513
20;3734;1122;2822;2223;2743;1287;217;1431;3637;3115
21;4766;2278;1799;2441;4520;1340;1889;2498;1400;4668
22;1475;3653;2233;2456;1330;2790;2394;2807;3068;2461
23;2087;1585;4515;1707;2241;452;4555;704;3650;4509
24;3024;4697;1495;348;1364;1487;809;3580;964;3695
25;1414;440;1206;2242;2938;2984;4413;3725;1513;4731
26;4241;3631;4568;3663;37;3248;2168;2163;3818;4014
27;4518;1014;1479;3228;814;1952;1758;2164;3528;4029
28;1014;4574;682;1451;4561;1515;408;1116;2899;3493
29;4928;1152;2024;2459;1358;574;4645;1014;1625;1129
30;335;2123;3977;1058;676;664;1638;4510;3995;1701
31;3729;2592;2517;592;2032;4526;2350;1294;4362;1866
32;4523;800;197;3834;2172;786;2389;841;582;3720
33;2692;463;1743;2983;197;2465;4542;4337;4320;1629
34;2717;814;1091;4575;374;920;1977;4305;358;1917
35;677;1354;747;351;4045;970;2904;368;4017;4561
36;3148;1436;1988;1053;991;810;550;3751;1243;1614
37;2148;2270;3526;654;3522;4557;4542;1556;4516;3043
38;3571;3803;2427;4026;4558;188;2368;825;23;1435
39;3969;1;4075;1416;1460;4138;3089;4098;4310;4007
40;2092;3620;490;4355;823;4558;225;3752;1235;4519
41;1582;4563;2427;3571;3314;4252;3096;2457;4545;4800
42;4801;387;3228;82;858;783;2423;1885;3030;382
43;212;1721;3519;2779;4513;2913;2222;2957;57;1129
44;1212;3775;796;105;4545;4279;4868;2766;1619;4838
45;1237;3051;2265;1168;4522;2140;1013;1509;3867;4542
46;2298;2231;3914;947;2784;4546;4029;3621;1272;814
47;1152;1791;4519;116;4330;881;936;4495;181;3607
48;4525;2579;95;1623;802;2887;600;3951;2826;2480
49;4819;4043;4522;207;1327;1425;1142;3493;711;860
