;0;1;2;3;4;5;6;7;8;9
0;18148;70277;47911;58503;67863;638;25951;2011;13279;39762
1;69381;57561;48382;63728;44217;29199;32407;22506;75861;1104
2;5747;606;56540;13673;16036;3065;8005;69693;46871;9214
3;42633;75876;72035;1132;12680;4966;40580;23235;35374;67441
4;75842;55076;58508;58414;64;63686;17274;54699;72529;75870
5;75875;58399;17321;66279;1446;67703;812;71012;12320;10212
6;21055;55046;934;22457;20812;45025;75873;35104;5114;18010
7;2229;52492;75569;71505;364;62610;12759;16371;52244;75853
8;906;5;25482;60585;12395;73310;74162;12680;932;14077
9;12658;75877;10221;75876;9353;913;37523;67411;27360;29775
10;38841;38458;437;54141;72084;74034;47561;7730;59648;1165
11;41647;1677;50526;12598;38758;25538;54457;26772;25952;4441
12;10346;47943;23729;6374;46649;28232;33943;42389;3506;11736
13;59563;56821;52534;48904;75836;15092;75235;21594;152;50234
14;15884;12742;3897;17738;3686;6942;6174;45414;58580;13455
15;17514;52418;11453;2513;8497;55102;1525;75841;15300;17077
16;2600;7468;7862;75836;32004;17718;65309;26254;3499;7700
17;42090;50886;54933;16444;52488;74789;7;21016;7878;43644
18;63567;24577;2600;64880;73478;15948;71622;36177;29381;37972
19;21343;388;50715;62360;1613;66253;69415;25421;50321;75878
20;71414;73978;1623;16766;72974;37150;952;27298;51449;500
21;1466;4627;49346;62689;53160;75837;40794;31125;57021;75837
22;42007;51588;65733;45990;1896;1530;28232;22414;333;8286
23;22174;46370;52722;10523;60122;46726;6969;69074;67094;6161
24;53505;68870;56879;45420;23268;18347;67779;1441;69860;75833
25;3453;5756;22891;35233;68600;31519;9903;67560;28947;12012
26;19796;64959;9240;16544;22327;14113;10468;18509;27466;28451
27;48405;8813;37626;18222;38084;37671;10097;54865;73644;75844
28;75836;40463;6044;1204;55548;75832;8907;20932;9039;8360
29;18385;33389;52189;51822;75844;52442;29404;65756;72136;3361
30;20544;11824;68158;60335;65049;33411;18962;4960;32286;75855
31;72262;74175;52026;59962;11588;50090;21177;51736;12961;75862
32;42257;60535;56670;13303;71663;47602;37293;16546;28369;16345
33;42495;30280;31401;32489;16314;35130;3181;17395;72721;13228
34;17027;57477;3466;63694;26696;55650;3396;51200;65761;609
35;15522;40480;55204;1158;40660;18243;2445;22008;1959;487
36;12617;32281;38730;75850;38910;67501;57346;31141;10104;14982
37;48911;47115;32526;17027;2429;54828;56037;887;8831;9981
38;519;14265;30527;41638;55920;31271;59367;62690;7063;2113
39;6562;5031;64690;75831;74841;49504;8077;75521;9929;21010
40;43655;1297;17227;58218;232;71372;70330;24707;13200;12161
41;59589;45092;27003;66151;43127;33122;7598;32663;761;69103
42;75856;11373;60215;11565;21670;31434;8863;31766;64280;53556
43;65473;46363;7254;32055;1947;18651;2788;18013;53807;34912
44;75872;54971;31549;66749;51725;38376;2905;31460;75864;70771
45;45251;51661;17747;4669;15616;38351;42330;75861;41668;1014
46;41919;67625;46513;647;53999;4988;71733;3895;16936;75836
47;59238;75804;2081;37402;38636;6345;6462;12283;37456;74979
48;18613;2391;49276;44859;75827;58748;49033;57457;23719;2601
49;17099;35392;40169;39870;34263;36975;75827;15392;19587;57856
