;0;1;2;3;4;5;6;7;8;9
0;73216;71104;10609;38902;33549;10520;47185;43328;49768;10557
1;1867;1677;1144;363;500;2743;61501;19056;57861;46086
2;39654;1752;743;363;8921;1014;4125;1677;59364;57164
3;5615;13277;44174;4971;2668;48010;132;1016;53685;363
4;15655;4960;8491;12480;363;8499;6847;70009;48083;1677
5;1677;185;57085;8499;36497;8491;23005;709;2600;4275
6;30;35678;23282;65255;68903;709;22775;2776;2743;697
7;487;4668;186;2150;715;530;55443;8499;64357;52719
8;74177;715;362;55587;140;24318;8179;60552;1590;56134
9;14;72314;21842;186;502;9848;59888;4125;5260;12481
10;487;185;2660;1867;8499;48235;3455;74818;8499;1867
11;60290;38791;363;185;17572;62786;66451;363;36449;41064
12;2600;8499;5963;24496;11857;2776;4971;1421;25591;4275
13;58211;66718;2743;34567;1530;316;362;55732;44543;4960
14;41090;1761;51947;8491;1093;13205;40;2977;29002;41373
15;363;4971;2145;1590;40;363;1530;20781;40840;55040
16;5612;8059;44804;46101;7395;52321;45465;743;1677;10747
17;1677;715;35141;2660;18936;32761;1590;28408;6831;7760
18;1016;743;1014;1677;2743;28357;30874;715;763;61285
19;15355;38363;1016;25587;55734;68919;363;49024;25779;57745
20;40;1590;29106;697;2770;1349;2776;2921;70925;14249
21;2743;35629;18203;49747;35930;2977;51599;20552;4971;271
22;1590;1530;40;11406;19434;487;4557;56312;2150;1530
23;357;40;27010;58080;21;1867;68788;4971;29227;2977
24;26853;8491;1867;271;1677;60723;709;715;3901;2776
25;8499;68985;271;363;8491;41140;54017;1937;13897;4287
26;44761;44648;49779;1590;67245;64797;15174;55353;72245;460
27;2660;3799;4960;2256;1016;2743;1961;1677;185;47883
28;1530;1014;8499;68384;3349;47795;31951;56523;41442;43789
29;72096;45776;4971;2977;63764;70876;1677;64093;2776;63561
30;530;530;65677;258;363;4960;502;357;40703;709
31;51154;1867;1677;74401;59695;4971;4275;64666;8491;70806
32;1867;4125;8491;54749;30;34458;25936;61398;1014;8491
33;316;29674;2776;61408;49949;10137;1867;1867;3230;55919
34;4971;1867;14;71578;316;65239;2136;62931;1530;500
35;185;2776;65584;73;4971;1677;36935;19563;20550;363
36;22615;50365;22457;2510;4960;186;2776;16758;1016;2743
37;68161;58979;19453;49072;4125;36322;4971;2256;2136;52454
38;32493;2150;502;2256;19869;29045;4960;47720;444;34941
39;23412;1867;487;1590;58397;2776;1014;1961;42200;42473
40;4275;68925;715;40457;26847;19020;23431;17836;316;4960
41;39109;31606;471;41085;1961;26364;8499;68181;8499;53249
42;2600;363;68143;9738;697;45225;487;4971;363;46721
43;45321;8491;1530;2150;132;363;4131;65084;9326;15372
44;67069;2600;51155;18376;62232;183;2743;743;62073;33798
45;363;5140;1430;40;2150;4125;2150;1867;1590;697
46;2256;2660;1867;8499;1867;57429;32372;2776;61101;1867
47;5746;697;56058;1576;2776;58270;20535;16408;717;2660
48;2776;4125;29533;18709;1674;2256;487;1937;50020;4971
49;27271;500;6224;71444;45540;2600;2660;63513;34069;715
